#KD=    4.140000e+02 [muM]
#Ebind= 1.080000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
5.981894e-09 7.846725e-10 5.786291e-09
5.981894e-09 9.673809e-10 5.742348e-09
5.981894e-09 1.192632e-09 5.688976e-09
5.981894e-09 1.470333e-09 5.624370e-09
5.981894e-09 1.812695e-09 5.546487e-09
5.981894e-09 2.234775e-09 5.453067e-09
5.981894e-09 2.755135e-09 5.341687e-09
5.981894e-09 3.396660e-09 5.209862e-09
5.981894e-09 4.187561e-09 5.055195e-09
5.981894e-09 5.162621e-09 4.875608e-09
5.981894e-09 6.364720e-09 4.669624e-09
5.981894e-09 7.846725e-09 4.436711e-09
5.981894e-09 9.673809e-09 4.177635e-09
5.981894e-09 1.192632e-08 3.894751e-09
5.981894e-09 1.470333e-08 3.592151e-09
5.981894e-09 1.812695e-08 3.275585e-09
5.981894e-09 2.234775e-08 2.952106e-09
5.981894e-09 2.755135e-08 2.629456e-09
5.981894e-09 3.396660e-08 2.315309e-09
5.981894e-09 4.187561e-08 2.016525e-09
5.981894e-09 5.162621e-08 1.738564e-09
5.981894e-09 6.364720e-08 1.485184e-09
5.981894e-09 7.846725e-08 1.258390e-09
5.981894e-09 9.673809e-08 1.058631e-09
5.981894e-09 1.192632e-07 8.851143e-10
5.981894e-09 1.470333e-07 7.361717e-10
5.981894e-09 1.812695e-07 6.095951e-10
5.981894e-09 2.234775e-07 5.029218e-10
5.981894e-09 2.755135e-07 4.136455e-10
5.981894e-09 3.396660e-07 3.393565e-10
5.981894e-09 4.187561e-07 2.778279e-10
5.981894e-09 5.162621e-07 2.270660e-10
5.981894e-09 6.364720e-07 1.853192e-10
5.981894e-09 7.846725e-07 1.510738e-10
5.981894e-09 9.673809e-07 1.230409e-10
5.981894e-09 1.192632e-06 1.001336e-10
5.981894e-09 1.470333e-06 8.144110e-11
5.981894e-09 1.812695e-06 6.620352e-11
5.981894e-09 2.234775e-06 5.379516e-11
5.981894e-09 2.755135e-06 4.369847e-11
5.981894e-09 3.396660e-06 3.548677e-11
5.981894e-09 4.187561e-06 2.881122e-11
5.981894e-09 5.162621e-06 2.338764e-11
5.981894e-09 6.364720e-06 1.898288e-11
5.981894e-09 7.846725e-06 1.540485e-11
5.981894e-09 9.673809e-06 1.250067e-11
5.981894e-09 1.192632e-05 1.014300e-11
5.981894e-09 1.470333e-05 8.229543e-12
5.981894e-09 1.812695e-05 6.676581e-12
1.812695e-08 1.812695e-14 1.812694e-08
1.812695e-08 2.234775e-14 1.812694e-08
1.812695e-08 2.755135e-14 1.812693e-08
1.812695e-08 3.396660e-14 1.812693e-08
1.812695e-08 4.187561e-14 1.812693e-08
1.812695e-08 5.162621e-14 1.812692e-08
1.812695e-08 6.364720e-14 1.812691e-08
1.812695e-08 7.846725e-14 1.812690e-08
1.812695e-08 9.673809e-14 1.812689e-08
1.812695e-08 1.192632e-13 1.812688e-08
1.812695e-08 1.470333e-13 1.812686e-08
1.812695e-08 1.812695e-13 1.812684e-08
1.812695e-08 2.234775e-13 1.812681e-08
1.812695e-08 2.755135e-13 1.812678e-08
1.812695e-08 3.396660e-13 1.812674e-08
1.812695e-08 4.187561e-13 1.812669e-08
1.812695e-08 5.162621e-13 1.812663e-08
1.812695e-08 6.364720e-13 1.812656e-08
1.812695e-08 7.846725e-13 1.812647e-08
1.812695e-08 9.673809e-13 1.812635e-08
1.812695e-08 1.192632e-12 1.812621e-08
1.812695e-08 1.470333e-12 1.812604e-08
1.812695e-08 1.812695e-12 1.812583e-08
1.812695e-08 2.234775e-12 1.812557e-08
1.812695e-08 2.755135e-12 1.812524e-08
1.812695e-08 3.396660e-12 1.812485e-08
1.812695e-08 4.187561e-12 1.812436e-08
1.812695e-08 5.162621e-12 1.812375e-08
1.812695e-08 6.364720e-12 1.812301e-08
1.812695e-08 7.846725e-12 1.812209e-08
1.812695e-08 9.673809e-12 1.812096e-08
1.812695e-08 1.192632e-11 1.811956e-08
1.812695e-08 1.470333e-11 1.811784e-08
1.812695e-08 1.812695e-11 1.811572e-08
1.812695e-08 2.234775e-11 1.811311e-08
1.812695e-08 2.755135e-11 1.810989e-08
1.812695e-08 3.396660e-11 1.810592e-08
1.812695e-08 4.187561e-11 1.810102e-08
1.812695e-08 5.162621e-11 1.809499e-08
1.812695e-08 6.364720e-11 1.808756e-08
1.812695e-08 7.846725e-11 1.807841e-08
1.812695e-08 9.673809e-11 1.806713e-08
1.812695e-08 1.192632e-10 1.805324e-08
1.812695e-08 1.470333e-10 1.803614e-08
1.812695e-08 1.812695e-10 1.801509e-08
1.812695e-08 2.234775e-10 1.798918e-08
1.812695e-08 2.755135e-10 1.795731e-08
1.812695e-08 3.396660e-10 1.791813e-08
1.812695e-08 4.187561e-10 1.787000e-08
1.812695e-08 5.162621e-10 1.781091e-08
1.812695e-08 6.364720e-10 1.773845e-08
1.812695e-08 7.846725e-10 1.764969e-08
1.812695e-08 9.673809e-10 1.754113e-08
1.812695e-08 1.192632e-09 1.740861e-08
1.812695e-08 1.470333e-09 1.724721e-08
1.812695e-08 1.812695e-09 1.705119e-08
1.812695e-08 2.234775e-09 1.681396e-08
1.812695e-08 2.755135e-09 1.652810e-08
1.812695e-08 3.396660e-09 1.618547e-08
1.812695e-08 4.187561e-09 1.577747e-08
1.812695e-08 5.162621e-09 1.529553e-08
1.812695e-08 6.364720e-09 1.473179e-08
1.812695e-08 7.846725e-09 1.408022e-08
1.812695e-08 9.673809e-09 1.333785e-08
1.812695e-08 1.192632e-08 1.250640e-08
1.812695e-08 1.470333e-08 1.159367e-08
1.812695e-08 1.812695e-08 1.061448e-08
1.812695e-08 2.234775e-08 9.590564e-09
1.812695e-08 2.755135e-08 8.549107e-09
1.812695e-08 3.396660e-08 7.519800e-09
1.812695e-08 4.187561e-08 6.531187e-09
1.812695e-08 5.162621e-08 5.607208e-09
1.812695e-08 6.364720e-08 4.764913e-09
1.812695e-08 7.846725e-08 4.013746e-09
1.812695e-08 9.673809e-08 3.356245e-09
1.812695e-08 1.192632e-07 2.789569e-09
1.812695e-08 1.470333e-07 2.307268e-09
1.812695e-08 1.812695e-07 1.900881e-09
1.812695e-08 2.234775e-07 1.561174e-09
1.812695e-08 2.755135e-07 1.278983e-09
1.812695e-08 3.396660e-07 1.045723e-09
1.812695e-08 4.187561e-07 8.536557e-10
1.812695e-08 5.162621e-07 6.959879e-10
1.812695e-08 6.364720e-07 5.668714e-10
1.812695e-08 7.846725e-07 4.613376e-10
1.812695e-08 9.673809e-07 3.752082e-10
1.812695e-08 1.192632e-06 3.050014e-10
1.812695e-08 1.470333e-06 2.478288e-10
1.812695e-08 1.812695e-06 2.013049e-10
1.812695e-08 2.234775e-06 1.634710e-10
1.812695e-08 2.755135e-06 1.327194e-10
1.812695e-08 3.396660e-06 1.077334e-10
1.812695e-08 4.187561e-06 8.743820e-11
1.812695e-08 5.162621e-06 7.095882e-11
1.812695e-08 6.364720e-06 5.758011e-11
1.812695e-08 7.846725e-06 4.671948e-11
1.812695e-08 9.673809e-06 3.790544e-11
1.812695e-08 1.192632e-05 3.075272e-11
1.812695e-08 1.470333e-05 2.494870e-11
1.812695e-08 1.812695e-05 2.023942e-11
7.794589e-08 1.812695e-14 7.794587e-08
7.794589e-08 2.234775e-14 7.794586e-08
7.794589e-08 2.755135e-14 7.794585e-08
7.794589e-08 3.396660e-14 7.794584e-08
7.794589e-08 4.187561e-14 7.794583e-08
7.794589e-08 5.162621e-14 7.794582e-08
7.794589e-08 6.364720e-14 7.794580e-08
7.794589e-08 7.846725e-14 7.794578e-08
7.794589e-08 9.673809e-14 7.794576e-08
7.794589e-08 1.192632e-13 7.794572e-08
7.794589e-08 1.470333e-13 7.794569e-08
7.794589e-08 1.812695e-13 7.794564e-08
7.794589e-08 2.234775e-13 7.794558e-08
7.794589e-08 2.755135e-13 7.794551e-08
7.794589e-08 3.396660e-13 7.794542e-08
7.794589e-08 4.187561e-13 7.794531e-08
7.794589e-08 5.162621e-13 7.794517e-08
7.794589e-08 6.364720e-13 7.794500e-08
7.794589e-08 7.846725e-13 7.794479e-08
7.794589e-08 9.673809e-13 7.794454e-08
7.794589e-08 1.192632e-12 7.794422e-08
7.794589e-08 1.470333e-12 7.794383e-08
7.794589e-08 1.812695e-12 7.794335e-08
7.794589e-08 2.234775e-12 7.794276e-08
7.794589e-08 2.755135e-12 7.794203e-08
7.794589e-08 3.396660e-12 7.794114e-08
